Subblock;Scene;Tile;T;Z;C;X [micron];Y [micron];Z [micron];Time [s];xstart;ystart;xwidth;ywidth
171;85;0;0;0;1;94507.953;71549.662;669.49;203.31162881851196;197580;138222;1960;1416
172;86;0;0;0;0;85475.588;71538.627;684.198;205.35274481773376;177822;138198;1960;1416
173;86;0;0;0;1;85475.588;71538.627;684.198;205.70876598358154;177822;138198;1960;1416
174;87;0;0;0;0;76443.208;71527.592;694.894;207.74788188934326;158064;138174;1960;1416
175;87;0;0;0;1;76443.208;71527.592;694.894;208.09590196609497;158064;138174;1960;1416
176;88;0;0;0;0;67410.835;71516.557;703.953;210.1500198841095;138306;138150;1960;1416
177;88;0;0;0;1;67410.835;71516.557;703.953;210.49703979492188;138306;138150;1960;1416
178;89;0;0;0;0;58378.464;71505.522;713.242;212.5171549320221;118548;138126;1960;1416
179;89;0;0;0;1;58378.464;71505.522;713.242;212.86217498779297;118548;138126;1960;1416
180;90;0;0;0;0;49346.084;71494.487;720.094;214.8582890033722;98790;138102;1960;1416
181;90;0;0;0;1;49346.084;71494.487;720.094;215.23330998420715;98790;138102;1960;1416
182;91;0;0;0;0;40313.719;71483.451;725.707;216.93940782546997;79032;138077;1960;1416
183;91;0;0;0;1;40313.719;71483.451;725.707;217.305428981781;79032;138077;1960;1416
184;92;0;0;0;0;31281.332;71472.416;729.361;219.3115439414978;59274;138053;1960;1416
185;92;0;0;0;1;31281.332;71472.416;729.361;219.69056487083435;59274;138053;1960;1416
186;93;0;0;0;0;22248.964;71461.381;729.811;221.43966484069824;39516;138029;1960;1416
187;93;0;0;0;1;22248.964;71461.381;729.811;221.78568482398987;39516;138029;1960;1416
188;94;0;0;0;0;13216.612;71450.346;733.22;223.522784948349;19758;138005;1960;1416
189;94;0;0;0;1;13216.612;71450.346;733.22;223.87380480766296;19758;138005;1960;1416
190;95;0;0;0;0;4184.229;71439.311;731.61;226.13493394851685;0;137981;1960;1416
191;95;0;0;0;1;4184.229;71439.311;731.61;226.48295378684998;0;137981;1960;1416
